啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
留学生,liúxuéshēng,Danh từ,Du học sinh,我是留学生。,Wǒ shì liúxuéshēng,Tôi là du học sinh.
流,liú,Động từ,"Chảy, đổ",他的手指流血了。,Tā de shǒuzhǐ liúxiě le,Ngón tay của anh ấy bị chảy máu.
流利,liúlì,Tính từ,"Lưu loát, trôi chảy",他中文说得很流利。,Tā Zhōngwén shuō de hěn liúlì,Anh ấy nói tiếng Trung rất lưu loát.
流行,liúxíng,Động từ,"Thịnh hành, phổ biến",这部电影在流行全球。,Zhè bù diànyǐng zài liúxíng quánqiú,Bộ phim này đang phổ biến trên toàn cầu.
路边,lù biān,Danh từ,Ven đường,路边有很多商店。,Lù biān yǒu hěn duō shāngdiàn,Ven đường có rất nhiều cửa hàng.
旅客,lǚkè,Danh từ,Khách du lịch,旅客们正在上车。,Lǚkèmen zhèngzài shàng chē,Các hành khách đang lên xe.
旅行,lǚxíng,Động từ,Du lịch,我们一起去旅行吧！,Wǒmen yìqǐ qù lǚxíng ba,Chúng ta cùng đi du lịch nhé!
旅游,lǚyóu,Động từ,"Du lịch, du ngoạn",他很喜欢去旅游。,Tā hěn xǐhuan qù lǚyóu,Anh ấy rất thích đi du lịch.
绿,lǜ,Tính từ,Màu xanh lá cây,草地上长满了绿草。,Cǎodì shàng zhǎng mǎnle lǜ cǎo,Cỏ xanh mọc đầy trên cánh đồng.
绿色,lǜsè,Danh từ,Màu xanh lá cây,我喜欢绿色。,Wǒ xǐhuan lǜsè,Tôi thích màu xanh lá cây.
卖,mài,Động từ,Bán,他在市场卖水果。,Tā zài shìchǎng mài shuǐguǒ,Anh ấy bán trái cây ở chợ.
满,mǎn,Tính từ,"Đầy, tràn đầy",我的房间里满都是书。,Wǒ de fángjiān li mǎn dōu shì shū,Trong phòng tôi đều là sách.
满意,mǎnyì,Tính từ,"Hài lòng, thỏa mãn",你对我们的服务满意吗？,Nǐ duì wǒmen de fúwù mǎnyì ma?,Bạn có hài lòng với dịch vụ của chúng tôi không?
猫,māo,Danh từ,Mèo,我家有一只猫。,Wǒ jiā yǒu yì zhī māo,Nhà tôi có một con mèo.
米,mǐ,Danh từ,Gạo mét,我想买一公斤米。 我哥哥一米八。,Wǒ xiǎng mǎi yì gōngjīn mǐ/ /Wǒ gēge yī mǐ bā,"Tôi muốn mua một ký gạo. Anh trai tôi cao 1,8 mét."
面,miàn,Lượng từ,"Chiếc, tấm, bức",她有一面镜子。,Tā yǒu yímiàn jìngzi,Anh ấy có một cái gương.
面,miàn,Danh từ,mặt,桌面很干净。,Zhuōmiàn hěn gānjìng,Mặt bàn rất sạch sẽ.
面前,miànqián,Danh từ,Trước mặt,他站在我面前。,Tā zhàn zài wǒ miànqián,Anh ấy đứng trước tôi.
名,míng,Danh từ,"Tên, danh tiếng",你的名字是什么？,Nǐ de míngzi shì shénme?,Tên của bạn là gì?
名称,míngchēng,Danh từ,"Danh xưng, tên gọi",这个学校的名称很长。,Zhège xuéxiào de míngchēng hěn cháng,Tên của ngôi trường này rất dài.
名单,míngdān,Danh từ,Danh sách,我们需要一个新的名单。,Wǒmen xūyào yíge xīn de míngdān,Chúng tôi cần một danh sách mới.
明星,míngxīng,Danh từ,"Ngôi sao, người nổi tiếng",她是电影明星。,Tā shì diànyǐng míngxīng,Cô ấy là ngôi sao điện ảnh.
目的,mùdì,Danh từ,Mục đích,你的目的是什么？,Nǐ de mùdì shì shénme?,Mục đích của bạn là gì?
拿出,náchū,Động từ,Lấy ra,他拿出一个苹果。,Tā ná chū yíge píngguǒ,Anh ấy lấy ra một quả táo.
拿到,ná dào,Động từ,Lấy được,我拿到了考试成绩。,Wǒ ná dàole kǎoshì chéngjì,Tôi đã nhận được kết quả thi.
那,nà,Đại từ,"Kia, đó",那是我的手机。,Nà shì wǒ de shǒujī,Đó là điện thoại của tôi.
那会儿,nàhuìr,Danh từ,"Khi đó, lúc đó",那会儿我在学校。,Nàhuìr wǒ zài xuéxiào,Khi đó tôi đang ở trường.
那么,nàme,Phó từ,"Như vậy, thế thì",他那么高啊。,Tā nàme gāo a,Anh ấy cao thế!
那时候 | 那时,nà shíhou/ /nà shí,Danh từ,"Khi đó, lúc đó",那时候我们很快乐。,Nà shíhou wǒmen hěn kuài lè,Khi đó chúng tôi rất vui.
那样,nàyàng,Phó từ,Như vậy,不要那样做。,Búyào nàyàng zuò,Đừng làm như vậy.
南方,nánfāng,Danh từ,Miền nam,南方的天气很热。,Nánfāng de tiānqì hěn rè,Thời tiết miền Nam rất nóng.
难过,nánguò,Tính từ,"Buồn, khó chịu",她听到坏消息就很难过。,Tā tīngdào huài xiāoxi jiù hěn nánguò,Cô ấy rất buồn khi nghe tin xấu.
难看,nánkàn,Tính từ,"Xấu, khó coi",这件衣服太难看了。,Zhè jiàn yīfu tài nánkàn le,Bộ quần áo này quá xấu.
难受,nánshòu,Tính từ,Khó chịu,天气太热，我很难受。,"Tiānqì tài rè, wǒ hěn nánshòu","Trời quá nóng, tôi rất khó chịu."
难题,nántí,Danh từ,"Câu hỏi khó, vấn đề khó",这道数学题是个难题。,Zhè dào shùxué tí shìge nántí,Câu toán này là một bài toán khó.
难听,nántīng,Tính từ,Khó nghe,这首歌太难听了。,Zhè shǒu gē tài nántīng le,Bài hát này quá khó nghe.
能够,nénggòu,Động từ,Có thể,我能够(tô đỏ)完成这项工作。,Wǒ nénggòu wánchéng zhè xiàng gōngzuò,Tôi có thể hoàn thành công việc này.
年级,niánjí,Danh từ,Khối lớp,我今年读三年级。,Wǒ jīnnián dú sān niánjí,Năm nay tôi học lớp ba.
年轻,niánqīng,Tính từ,Trẻ,她看起来很年轻。,Tā kàn qǐlai hěn niánqīng,Cô ấy trông rất trẻ.
鸟,niǎo,Danh từ,Con chim,树上有一只小鸟。,Shù shàng yǒu yì zhī xiǎo niǎo,Trên cây có một con chim nhỏ.
弄,nòng,Động từ,"Làm, gây ra",你把衣服弄脏了。,Nǐ bǎ yīfu nòng zāng le,Bạn làm bẩn quần áo rồi.
努力,nǔlì,Động từ,"Nỗ lực, cố gắng",他努力学习汉语。,Tā nǔlì xuéxí Hànyǔ,Anh ấy nỗ lực học tiếng Trung.
爬,pá,Động từ,"Leo, bò",孩子会爬了。,Háizi huì pá le,Đứa bé đã biết bò.
爬山,páshān,Động từ,Leo núi,周末我们去爬山。,Zhōumò wǒmen qù páshān,Cuối tuần chúng tôi đi leo núi.
怕,pà,Động từ,Sợ,我怕黑，不敢出门。,"Wǒ pà hēi, bù gǎn chūmén","Tôi sợ bóng tối, không dám ra ngoài."
排,pái,Động từ,"Xếp hàng, sắp xếp",请大家排好队。,Qǐng dàjiā pái hǎo duì,Mọi người vui lòng xếp hàng ngay ngắn.
排队,páiduì,Động từ,Xếp hàng,我们要排队买票。,Wǒmen yào páiduì mǎipiào,Chúng tôi phải xếp hàng mua vé.
排球,páiqiú,Danh từ,Bóng chuyền,他喜欢打排球。,Tā xǐhuan dǎ páiqiú,Anh ấy thích chơi bóng chuyền.
碰,pèng,Động từ,Va chạm,他不小心碰到了桌子。,Tā bù xiǎoxīn pèng dào le zhuōzi,Anh ấy vô tình đụng vào bàn.
碰到,pèngdào,Động từ,Gặp phải,我在路上碰到朋友。,Wǒ zài lùshang pèngdào péngyou,Tôi gặp bạn trên đường.
碰见,pèngjiàn,Động từ,Gặp gỡ,我昨天碰见了老师。,Wǒ zuótiān pèngjiàn le lǎoshī,Hôm qua tôi gặp giáo viên.
篇,piān,Lượng từ,"Bài (dùng cho bài viết, bài văn)",他写了一篇文章。,Tā xiě le yì piān wénzhāng,Anh ấy đã viết một bài văn.
便宜,piányi,Tính từ,Rẻ,这件衣服很便宜。,Zhè jiàn yīfu hěn piányi,Bộ quần áo này rất rẻ.
片,piàn,Danh từ,"Tấm, lát",我吃了一片面包。,Wǒ chīle yí piàn miànbāo,Tôi đã ăn một lát bánh mì.
漂亮,piàoliang,Tính từ,Đẹp,她的衣服很漂亮。,Tā de yīfu hěn piàoliang,Quần áo của cô ấy rất đẹp.
平,píng,Tính từ,Bằng phẳng,这条路很平。,Zhè tiáo lù hěn píng,Con đường này rất bằng phẳng.
平安,píng’ān,Tính từ,Bình an,祝你一路平安。,Zhù nǐ yílù píng’ān,Chúc bạn lên đường bình an.
平常,píngcháng,Tính từ,Bình thường,他平常很早起床。,Tā píngcháng hěn zǎo qǐchuáng,Bình thường anh ấy dậy rất sớm.
平等,píngděng,Tính từ,Bình đẳng,我们都是平等的。,Wǒmen dōu shì píngděng de,Chúng ta đều bình đẳng.
平时,píngshí,Danh từ,Thường ngày,我平时不喝咖啡。,Wǒ píngshí bù hē kāfēi,Tôi thường ngày không uống cà phê.
瓶,píng,Danh từ,"Chai, lọ",我买了一瓶水。,Wǒ mǎile yì píng shuǐ,Tôi đã mua một chai nước.
瓶子,píngzi,Danh từ,"Chai, lọ",这个瓶子很大。,Zhège píngzi hěn dà,Cái chai này rất to.
普通,pǔtōng,Tính từ,Bình thường,他是一个普通(tô đỏ)人。,Tā shì yí ge pǔtōng rén,Anh ấy là một người bình thường.
普通话,pǔtōnghuà,Danh từ,Tiếng phổ thông,我会说普通话。,Wǒ huì shuō pǔtōnghuà,Tôi biết nói tiếng phổ thông.
其他,qítā,Đại từ,"Khác, những cái khác",你还有其他问题吗？,Nǐ hái yǒu qítā wèntí ma,Bạn còn câu hỏi nào khác không?
其中,qízhōng,Giới từ,Trong đó,其中一个是我的朋友。,Qízhōng yíge shì wǒ de péngyou,Trong đó có một người là bạn tôi.
骑,qí,Động từ,"Cưỡi (xe, ngựa)",我会骑自行车。,Wǒ huì qí zìxíngchē,Tôi biết đi xe đạp.
骑车,qí chē,Động từ,"Đi xe (đạp, máy)",我每天骑车上班。,Wǒ měitiān qí chē shàngbān,Tôi đi xe đi làm mỗi ngày.
起飞,qǐfēi,Động từ,Cất cánh,飞机马上起飞了。,Fēijī mǎshàng qǐfēi le,Máy bay sắp cất cánh rồi.
气,qì,Danh từ,"Thời tiết, khí hậu khí thế, trạng thái tinh thần",今天的天气非常热。 你今天气色不错。,Jīntiān de tiānqì fēicháng rè/ /Nǐ jīntiān qì sè búcuò,Thời tiết hôm nay rất nóng. Tinh thần của bạn hôm nay không tệ.
气温,qìwēn,Danh từ,Nhiệt độ,今天的气温非常高。,Jīntiān de qìwēn fēicháng gāo,Nhiệt độ hôm nay rất cao.
千,qiān,Số từ,Một nghìn,这部手机两千块。,Zhè bù shǒujī liǎng qiān kuài,Chiếc điện thoại này hai nghìn tệ.
千克,qiānkè,Danh từ,Kilogram (kg),这个箱子十千克。,Zhège xiāngzi shí qiānkè,Chiếc vali này nặng 10 kg.
前年,qiánnián,Danh từ,Năm kia,我前年去了北京。,Wǒ qiánnián qùle Běijīng,Năm kia tôi đã đi Bắc Kinh.
墙,qiáng,Danh từ,Bức tường,墙上有一幅画。,Qiáng shàng yǒu yì fú huà,Trên tường có một bức tranh.
青年,qīngnián,Danh từ,Thanh niên,他是一位有为青年(tô đỏ)。,Tā shì yí wèi yǒuwéi qīngnián,Anh ấy là một thanh niên ưu tú.
青少年,qīng-shàonián,Danh từ,Thanh thiếu niên,他们是青少年。,Tāmen shì qīng shàonián,Họ là thanh thiếu niên.
轻,qīng,Tính từ,Nhẹ,这个箱子很轻。,Zhège xiāngzi hěn qīng,Cái vali này rất nhẹ.
清楚,qīngchǔ,Tính từ,Rõ ràng,我看不清楚(tô đỏ)。,Wǒ kàn bu qīngchu,Tôi nhìn không rõ.
晴,qíng,Tính từ,"Trời trong, trời quang",雨后总会有晴天。,Yǔ hòu zǒng huì yǒu qíngtiān,Sau cơn mưa trời lại sáng.
晴天,qíngtiān,Danh từ,Ngày nắng,明天是晴天。,Míngtiān shì qíngtiān,Ngày mai trời nắng.
请客,qǐngkè,Động từ,Mời khách,今天我请客。,Jīntiān wǒ qǐngkè,Hôm nay tôi mời khách.
请求,qǐngkè,Động từ,"Yêu cầu, xin ý kiến, đề nghị",他请求大家努力工作。,Tā qǐngqiú dàjiā nǔlì gōngzuò,Anh ấy đề nghị mọi người cố gắng làm việc.
秋天,qiūtiān,Danh từ,Mùa thu,我喜欢秋天。,Wǒ xǐhuān qiūtiān,Tôi thích mùa thu.
球,qiú,Danh từ,Quả bóng,我喜欢踢球。,Wǒ xǐhuān tī qiú,Tôi thích đá bóng.
球场,qiúchǎng,Danh từ,Sân bóng,我们去球场玩吧。,Wǒmen qù qiúchǎng wán ba.,Chúng ta đi sân bóng chơi nhé.
球队,qiúduì,Danh từ,Đội bóng,这个球队很有名。,Zhège qiú duì hěn yǒumíng,Đội bóng này rất nổi tiếng.
球鞋,qiúxié,Danh từ,Giày thể thao,我买了新球鞋。,Wǒ mǎi le xīn qiúxié,Tôi đã mua đôi giày thể thao mới.
取,qǔ,Động từ,"Lấy, rút",我去银行取钱。,Wǒ qù yínháng qǔ qián,Tôi đi ngân hàng rút tiền.
取得,qǔdé,Động từ,Đạt được,他取得了好成绩。,Tā qǔdéle hǎo chéngjī,Anh ấy đạt được thành tích tốt.
全,quán,Tính từ,Toàn bộ,全(tô đỏ)世界都在关注这件事。,Quán shìjiè dōu zài guānzhù zhè jiàn shì,Cả thế giới đều đang chú ý đến việc này.
全部,quánbù,Danh từ,Toàn bộ,全部学生都参加了。,Quánbù xuéshēng dōu cānjiā le,Toàn bộ học sinh đều tham gia.
全国,quánguó,Danh từ,Toàn quốc,全国(tô đỏ)都在庆祝春节。,Quánguó dōu zài qìngzhù Chūnjié,Cả nước đều đang ăn mừng Tết Nguyên Đán.
全家,quánjiā,Danh từ,"Cả nhà, cả gia đình",我们全家去公园散步了。,Wǒmen quánjiā qù gōngyuán sànbù le,Cả nhà chúng tôi đã đi dạo công viên.
全年,quánnián,Danh từ,Cả năm,这里的天气全年都很好。,Zhèlǐ de tiānqì quánnián dōu hěn hǎo,Thời tiết ở đây rất tốt cả năm.
全身,quánshēn,Danh từ,"Toàn thân, cả người",他全身都湿了。,Tā quánshēn dōu shī le,Cả người anh ấy đều ướt.
全体,quántǐ,Danh từ,Toàn thể,全体学生都参加了活动。,Quántǐ xuéshēng dōu cānjiā le huódòng,Toàn thể học sinh đều tham gia hoạt động.
让,ràng,Động từ,"Làm cho, khiến cho",这件事让我很高兴。,Zhè jiàn shì ràng wǒ hěn gāoxìng,Chuyện này khiến tôi rất vui.
然后,ránhòu,Liên từ,Sau đó,我先吃饭，然后去学校学习。,"Wǒ xiān chīfàn, ránhòu qù xuéxiào xuéxí","Tôi ăn cơm, sau đó đến trường học."
热情,rèqíng,Tính từ,Nhiệt tình,她对客人非常热情。,Tā duì kèrén fēicháng rèqíng,Cô ấy rất nhiệt tình với khách.
人口,rénkǒu,Danh từ,Dân số,这个城市的人口很多。,Zhège chéngshì de rénkǒu hěn duō,Thành phố này có dân số rất đông.
人们,rénmen,Danh từ,Mọi người,人们喜欢去公园散步。,Rénmen xǐhuan qù gōngyuán sànbù,Mọi người thích đi dạo trong công viên.
人数,rénshù,Danh từ,"Số người, sĩ số, số lượng người",这个班的人数很多。,Zhège bān de rénshù hěnduō,Sĩ số của lớp này rất đông.
认为,rènwéi,Động từ,"Cho rằng, nghĩ rằng",我认为这个办法很好。,Wǒ rènwéi zhège bànfǎ hěn hǎo,Tôi cho rằng cách này rất tốt.
日报,rìbào,Danh từ,"Nhật báo, báo hằng ngày",我每天看日报。,Wǒ měitiān kàn rìbào,Tôi đọc báo hằng ngày.
日子,rìzi,Danh từ,"Ngày, cuộc sống",这些日子很开心。,Zhèxiē rìzi hěn kāixīn,Những ngày này rất vui.
如果,rúguǒ,Liên từ,Nếu như,如果下雨，我不去公园。,"Rúguǒ xiàyǔ, wǒ bù qù gōngyuán","Nếu trời mưa, tôi không đi công viên."
人口,rénkǒu,Danh từ,Dân số,这个城市的人口很多。,Zhège chéngshì de rénkǒu hěn duō,Thành phố này có dân số rất đông.
商量,shāngliáng,Động từ,"Thương lượng, bàn bạc",他们在商量这件事。,Tāmen zài shāngliáng zhè jiàn shì,Họ đang bàn bạc về việc này.
商人,shāngrén,Danh từ,"Thương nhân, doanh nhân",他是一个成功的商人。,Tā shì yí gè chénggōng de shāngrén,Anh ấy là một doanh nhân thành công.
上周,shàng zhōu,Danh từ,Tuần trước,上周我们去了北京。,Shàng zhōu wǒmen qù le Běijīng,Tuần trước chúng tôi đã đi Bắc Kinh.
少数,shǎoshù,Danh từ,"Số ít, thiểu số",只有少数人知道这件事。,Zhǐ yǒu shǎoshù rén zhīdào zhè jiàn shì,Chỉ có số ít người biết chuyện này.
少年,shàonián,Danh từ,"Thiếu niên, thanh thiếu niên",这些少年很有活力。,Zhèxiē shàonián hěn yǒu huólì,Những thiếu niên này rất năng động.
身边,shēnbiān,Danh từ,"Bên cạnh, bên người",我身边有很多朋友。,Wǒ shēnbiān yǒu hěn duō péngyǒu,Bên cạnh tôi có rất nhiều bạn bè.
什么样,shénmeyàng,Đại từ,"Như thế nào, loại nào",你喜欢什么样的电影？,Nǐ xǐhuān shénmeyàng de diànyǐng?,Bạn thích loại phim nào?
生（动）,shēng,Động từ,"Sinh, sinh ra",她去年生了一个女儿。,Tā qùnián shēng le yí gè nǚ’ér,Cô ấy sinh một bé gái vào năm ngoái.
生词,shēngcí,Danh từ,Từ mới,我今天学了十个生词。,Wǒ jīntiān xué le shí gè shēngcí,Hôm nay tôi đã học mười từ mới.
生活,shēnghuó,Danh từ,"Cuộc sống, sinh hoạt",他的生活很简单。,Tā de shēnghuó hěn jiǎndān,Cuộc sống của anh ấy rất đơn giản.
声音,shēngyīn,Danh từ,"Âm thanh, giọng nói",你的声音很好听。,Nǐ de shēngyīn hěn hǎotīng,Giọng nói của bạn rất hay.
省（名）,shěng,Danh từ,Tỉnh (đơn vị hành chính),他住在广东省。,Tā zhù zài Guǎngdōng shěng,Anh ấy sống ở tỉnh Quảng Đông.
省（动）,shěng,Động từ,Tiết kiệm,关灯可以省电。,Guān dēng kěyǐ shěng diàn,Tắt đèn có thể tiết kiệm điện.
十分,shífēn,Trạng từ,"Rất, vô cùng",我十分喜欢这本书。,Wǒ shífēn xǐhuān zhè běn shū,Tôi rất thích quyển sách này.
实际,shíjì,Tính từ,Thực tế,这个计划很实际。,Zhège jìhuà hěn shíjì,Kế hoạch này rất thực tế.
实习,shíxí,Động từ,Thực tập,她在国际公司实习。,Tā zài guójì gōngsī shíxí,Cô ấy đang thực tập tại công ty quốc tế.
实现,shíxiàn,Động từ,Thực hiện,他实现了自己的梦想。,Tā shíxiàn le zìjǐ de mèngxiǎng,Anh ấy đã thực hiện ước mơ của mình.
实在,shízài,Phó từ,"Quả thực, thực sự",这个问题实在太难了。,Zhège wèntí shízài tài nán le,Vấn đề này thực sự quá khó.
实在,shízai,Tính từ,"Chắc chắn; cẩn thận; kỹ; khéo; tốt (công tác, công việc)",他工作做得很实在，你放心吧！,"Tā gōngzuò zuò dé hěn shízài, nǐ fàngxīn ba","Anh ấy làm việc rất tốt, bạn yên tâm nhé!"
食物,shíwù,Danh từ,"Thức ăn, thực phẩm",这些食物很健康。,Zhèxiē shíwù hěn jiànkāng,Những thực phẩm này rất tốt cho sức khỏe.
使用,shǐyòng,Động từ,Sử dụng,请正确使用电脑。,Qǐng zhèngquè shǐyòng diànnǎo,Vui lòng sử dụng máy tính đúng cách.
市,shì,Danh từ,"Thành phố, thị trấn",这个市很大。,Zhège shì hěn dà,Thành phố này rất lớn.
市长,shìzhǎng,Danh từ,Thị trưởng,他是这个市的市长。,Tā shì zhège shì de shìzhǎng,Ông ấy là thị trưởng của thành phố này.
事情,shìqíng,Danh từ,"Sự việc, chuyện",这是一件重要的事情。,Zhè shì yí jiàn zhòngyào de shìqíng,Đây là một việc quan trọng.
收,shōu,Động từ,"Nhận, thu",他们还没收房租。,Tāmen hái méishōu fángzū,Họ vẫn chưa thu tiền thuê nhà.
收到,shōudào,Động từ,Nhận được,我收到了一份礼物。,Wǒ shōudào le yí fèn lǐwù,Tôi đã nhận được một món quà.
收入,shōurù,Danh từ,Thu nhập,他的收入很高。,Tā de shōurù hěn gāo,Thu nhập của anh ấy rất cao.
手表,shǒubiǎo,Danh từ,Đồng hồ đeo tay,你的手表很好看。,Nǐ de shǒubiǎo hěn hǎokàn,Đồng hồ của bạn rất đẹp.
受到,shòudào,Động từ,Nhận được,他受到(tô đỏ)了老师的表扬。,Tā shòudào le lǎoshī de biǎoyáng,Anh ấy được cô giáo khen ngợi.
舒服,shūfu,Tính từ,Thoải mái,这个椅子很舒服。,Zhège yǐzi hěn shūfu,Chiếc ghế này rất thoải mái.
熟,shú/ /shóu,Tính từ,Quen thuộc,他对这里很熟。,Tā duì zhèlǐ hěn shú,Anh ấy rất quen thuộc với nơi này.
数,shǔ,Động từ,Đếm,我来数一数有多少人。,Wǒ lái shǔ yī shǔ yǒu duōshǎo rén,Để tôi đếm có bao nhiêu người.
数字,shùzì,Danh từ,Chữ số,请写下这个数字。,Qǐng xiě xià zhège shùzì,Hãy viết số này xuống.
水平,shuǐpíng,Danh từ,Trình độ,他的水平很高。,Tā de shuǐpíng hěn gāo,Trình độ của anh ấy rất cao.
顺利,shùnlì,Tính từ,Thuận lợi,祝你考试顺利！,Zhù nǐ kǎoshì shùnlì!,Chúc bạn thi cử thuận lợi!
说明,shuōmíng,Động từ,Giải thích,请说明一下吧。,Qǐng shuōmíng yíxià ba,Hãy giải thích một chút.
司机,sījī,Danh từ,Tài xế,他是出租车司机。,Tā shì chūzūchē sījī,Anh ấy là tài xế taxi.
送到,sòngdào,Động từ,"Gửi đến, đưa đến",你的快递送到了。,Nǐ de kuàidì sòngdào le,Bưu kiện của bạn đã được giao đến.
送给,sòng gěi,Động từ,Tặng cho,他送给我一本书。,Tā sòng gěi wǒ yì běn shū,Anh ấy tặng tôi một quyển sách.
算,suàn,Động từ,"Đếm, tính toán xem như, coi là thôi, bỏ đi",我们来算一算有多少人。 这个问题算小的。 算了，我们不说了。,"Wǒmen lái suàn yí suàn yǒu duōshǎo rén/ /Zhège wèntí suàn xiǎo de/ /Suàn le, wǒmen bù shuō le","Chúng ta cùng đếm xem có bao nhiêu người. Vấn đề này được xem như là nhỏ. Thôi, chúng ta không nói nữa."
虽然,suīrán,Liên từ,Mặc dù,虽然下雨，我还是去。,"Suīrán xiàyǔ, wǒ háishì qù","Mặc dù trời mưa, tôi vẫn đi."
随便,suíbiàn,Trạng từ,"Tùy tiện, tùy ý",你可以随便坐。,Nǐ kěyǐ suíbiàn zuò,Bạn có thể ngồi tùy ý.
随时,suíshí,Trạng từ,Bất cứ lúc nào,你可以随时打给我。,Nǐ kěyǐ suíshí dǎ gěi wǒ,Bạn có thể gọi cho tôi bất cứ lúc nào.
所以,suǒyǐ,Liên từ,"Cho nên, vậy nên, vì vậy",我喜欢看书，所以每天都去图书馆。,"Wǒ xǐhuān kànshū, suǒyǐ měitiān dū qù túshū guǎn",Tôi thích đọc sách nên tôi đến thư viện mỗi ngày.
所有,suǒyǒu,Định ngữ,Tất cả,所有人都来了。,Suǒyǒu rén dōu lái le,Tất cả mọi người đều đến rồi.
它,tā,Đại từ,"Nó (chỉ đồ vật, động vật)",这是我的猫，它很可爱。,"Zhè shì wǒ de māo, tā hěn kě’ài","Đây là con mèo của tôi, nó rất đáng yêu."
它们,tāmen,Đại từ,"Chúng, bọn chúng (chỉ đồ vật, động vật số nhiều)",它们(tô đỏ)正在吃东西。,Tāmen zhèngzài chī dōngxī,Họ đang ăn.
太太,tàitai,Danh từ,"Bà, vợ",王太太很友好。,Wáng tàitai hěn yǒuhǎo,Bà Vương rất thân thiện.
太阳,tàiyáng,Danh từ,Mặt trời,今天太阳很大。,Jīntiān tàiyáng hěn dà,Hôm nay trời rất nắng.
态度,tàidù,Danh từ,Thái độ,他的态度很好。,Tā de tàidù hěn hǎo,Thái độ của anh ấy rất tốt.
讨论,tǎolùn,Động từ,Thảo luận,他们在讨论问题。,Tāmen zài tǎolùn wèntí,Họ đang thảo luận vấn đề.
套,tào,Danh từ,"Bộ (quần áo, sách, đồ vật)",我买了一套衣服。,Wǒ mǎi le yí tào yīfu,Tôi đã mua một bộ quần áo.
特别,tèbié,Phó từ,"Đặc biệt, vô cùng, rất",这本书特别有意思。,Zhè běn shū tèbié yǒuyìsi,Cuốn sách này đặc biệt thú vị.
特点,tèdiǎn,Danh từ,Đặc điểm,这个地方有什么特点？,Zhège dìfāng yǒu shénme tèdiǎn,Nơi này có đặc điểm gì?
疼,téng,Tính từ,Đau,我的头很疼。,Wǒ de tóu hěn téng,Đầu của tôi rất đau.
提,tí,Động từ,"Nêu ra, đề xuất",他提了一个问题。,Tā tí le yí gè wèntí,Anh ấy đã nêu ra một câu hỏi.
提出,tíchū,Động từ,"Đề xuất, đưa ra",老师提出了新问题。,Lǎoshī tíchū le xīn wèntí,Giáo viên đã đưa ra một câu hỏi mới.
提到,tídào,Động từ,"Nhắc đến, đề cập đến",他提到了我的名字。,Tā tídào le wǒ de míngzi,Anh ấy đã nhắc đến tên tôi.
提高,tígāo,Động từ,"Nâng cao, cải thiện",我要提高汉语水平。,Wǒ yào tígāo Hànyǔ shuǐpíng,Tôi muốn nâng cao trình độ tiếng Trung.
题,tí,Danh từ,"Câu hỏi, đề bài",这个题很简单。,Zhè gè tí hěn jiǎndān,Câu hỏi này rất đơn giản.
体育,tǐyù,Danh từ,Thể thao,我喜欢体育运动。,Wǒ xǐhuan tǐyù yùndòng,Tôi thích các hoạt động thể thao.
体育场,tǐyùchǎng,Danh từ,Sân vận động,我们去体育场吧。,Wǒmen qù tǐyùchǎng ba,Chúng ta đi sân vận động nhé.
体育馆,tǐyùguǎn,Danh từ,Nhà thi đấu thể thao,体育馆很大。,Tǐyùguǎn hěn dà,Nhà thi đấu thể thao rất lớn.
天上,tiānshàng,Danh từ,Trên trời,天上有很多云。,Tiānshàng yǒu hěn duō yún,Trên trời có nhiều mây.
条,tiáo,Lượng từ,"Cái, chiếc (dùng cho vật dài)",这条裤子很好看。,Zhè tiáo kùzi hěn hǎokàn,Chiếc quần này rất đẹp.
条件,tiáojiàn,Danh từ,Điều kiện,他有很好的学习条件(tô đỏ)。,Tā yǒu hěn hǎo de xuéxí tiáojiàn,Anh ấy có điều kiện học tập rất tốt.
听讲,tīngjiǎng,Động từ,Nghe giảng,学生认真听讲。,Xuéshēng rènzhēn tīngjiǎng,Học sinh nghe giảng chăm chú.
听说,tīngshuō,Động từ,Nghe nói,我听说他很忙。,Wǒ tīngshuō tā hěn máng,Tôi nghe nói anh ấy rất bận.
停,tíng,Động từ,Dừng lại,车停在门口了。,Chē tíng zài ménkǒu le,Xe dừng trước cửa rồi.
停车,tíngchē,Động từ,Đỗ xe,请在这里停车。,Qǐng zài zhèlǐ tíngchē,Vui lòng đỗ xe ở đây.
停车场,tíngchēchǎng,Danh từ,Bãi đỗ xe,停车场很大。,Tíngchēchǎng hěn dà,Bãi đỗ xe rất lớn.
挺 （副）,tǐng,Phó từ,"Rất, khá",这部电影挺好看的。,Zhè bù diànyǐng tǐng hǎokàn de,Bộ phim này rất hay.
挺好,tǐng hǎo,Tính từ,Khá tốt,这个饭馆挺好。,Zhè gè fànguǎn tǐng hǎo,Nhà hàng này khá tốt.
通,tōng,Động từ,"Thông, thông suốt",电话已经打通了。,Diànhuà yǐjīng dǎ tōng le,Điện thoại đã kết nối được rồi.
通过,tōngguò,Động từ,Thông qua,他通过了考试。,Tā tōngguò le kǎoshì,Anh ấy đã vượt qua kỳ thi.
通知,tōngzhī,Danh từ,Thông báo,我收到一个通知。,Wǒ shōudào yí gè tōngzhī,Tôi nhận được một thông báo.
