哎哟,āi yōu,ái chà
勉强,miǎnqiǎng,"Cố gắng, miễn cưỡng"
免疫,miǎnyì,Miễn dịch
面貌,miànmào,"Diện mạo, dung mạo"
面子,miànzi,Thể diện
描绘,miáohuì,Miêu tả
渺小,miǎoxiǎo,Nhỏ bé
蔑视,mièshì,"Coi thường, khinh miệt"
灭亡,mièwáng,Diệt vong
民间,mínjiān,Dân gian
民用,mínyòng,Dân dụng
敏感,mǐngǎn,Nhạy cảm
敏捷,mǐnjié,Nhanh nhẹn
敏锐,mǐnruì,Nhạy bén
名次,míngcì,Thứ hạng
名额,míng'é,"Số người, số lượng quy định"
名副其实,míngfùqíshí,Danh xứng kỳ thực
明明,míngmíng,Rõ ràng
名誉,míngyù,Danh dự
命名,mìngmíng,Đặt tên
摸索,mōsuǒ,Mò mẫm
膜,mó,Màng
摩擦,mócā,"Ma sát, cọ sát"
模范,mófàn,Gương mẫu
魔鬼,móguǐ,Ma quỷ
磨合,móhé,"Mài giũa, hoà hợp"
模式,móshì,"Mô thức, kiểu mẫu"
魔术,móshù,Ảo thuật
模型,móxíng,Mô hình
抹杀,mǒshā,"Phủ nhận, xoá bỏ"
莫名其妙,mòmíngqímiào,Không thể hiểu nổi
默默,mòmò,"Lặng lẽ, âm thầm"
墨水儿,mòshuǐr,Mực viết
谋求,móuqiú,Mưu cầu
模样,múyàng,"Hình dáng, dáng vẻ"
母语,mǔyǔ,Tiếng mẹ đẻ
目睹,mùdǔ,"Mắt thấy, chứng kiến"
目光,mùguāng,Ánh mắt
沐浴,mùyù,Tắm gội
拿手,náshǒu,"Giỏi, sở trường"
纳闷儿,nàmènr,"Bồn chồn, khó hiểu"
耐用,nàiyòng,"Bền, dùng lâu"
难得,nándé,"Khó có được, hiếm có"
难堪,nánkān,"Khó chịu, khó xử"
难免,nánmiǎn,"Khó tránh, khó khỏi"
难能可贵,nánnéngkěguì,Đáng khen ngợi
恼火,nǎohuǒ,"Bực mình, tức giận"
内涵,nèihán,"Nội hàm, hàm súc"
内幕,nèimù,"Bên trong, nội tình"
内在,nèizài,"Nội tại, bên trong"
能量,néngliàng,Năng lượng
嗯,ń,"Ừ, ừm"
拟定,nǐdìng,"Đề ra, vạch ra"
年度,niándù,"Niên độ, hàng năm"
捏,niē,"Nặn, bóp"
拧,níng,"Vặn, xoay"
凝固,nínggù,"Đóng băng, đông cứng"
凝聚,níngjù,Ngưng tụ
凝视,níngshì,Nhìn chằm chằm
宁肯,nìngkěn,"Thà rằng, thà"
宁愿,nìngyuàn,"Thà, thà rằng"
纽扣儿,niǔkòur,"Khuy áo, cúc áo"
扭转,niǔzhuǎn,"Xoay chuyển, xoay ngược"
浓厚,nónghòu,"Đậm đặc, sâu đậm"
农历,nónglì,"Lịch âm, âm lịch"
奴隶,núlì,Nô lệ
挪,nuó,"Chuyển, dời"
虐待,nüèdài,Ngược đãi
哦,ó,"Ồ, a"
殴打,ōudǎ,Đánh đập
欧洲,Ōuzhōu,Châu Âu
呕吐,ǒutù,Nôn mửa
趴,pā,"Nằm sấp, phủ phục"
排斥,páichì,"Bài xích, loại trừ"
排除,páichú,"Loại trừ, loại bỏ"
排放,páifàng,"Thải ra, xả thải"
徘徊,páihuái,"Đi loanh quanh, lưỡng lự"
派别,pàibié,"Phái, bè phái"
派遣,pàiqiǎn,"Phái đi, cử đi"
攀登,pāndēng,"Leo, trèo"
盘旋,pánxuán,Lượn quanh
畔,pàn,"Bờ, cạnh"
判决,pànjué,Phán quyết
庞大,pángdà,"To lớn, khổng lồ"
抛弃,pāoqì,"Vứt bỏ, bỏ rơi"
泡沫,pàomò,"Bọt, bong bóng"
培训,péixùn,"Đào tạo, huấn luyện"
培育,péiyù,"Bồi dưỡng, nuôi dưỡng"
配备,pèibèi,Trang bị
配偶,pèi'ǒu,"Bạn đời, vợ/chồng"
配套,pèitào,"Đồng bộ, hoàn chỉnh"
盆地,péndì,Thung lũng
烹饪,pēngrèn,"Nấu ăn, nấu nướng"
捧,pěng,"Nâng, bưng"
劈,pī,"Chẻ, bổ"
批发,pīfā,Bán buôn
批判,pīpàn,"Phê phán, phê bình"
疲惫,píbèi,"Mệt mỏi, mệt lả"
皮革,pígé,Da thuộc
疲倦,píjuàn,"Mệt mỏi, chán chường"
脾气,píqi,"Tính tình, tính khí"
屁股,pìgu,"Mông, đít"
譬如,pìrú,Ví dụ như
偏差,piānchā,"Sai lệch, lệch lạc"
偏见,piānjiàn,"Định kiến, thành kiến"
偏僻,piānpì,"Hẻo lánh, xa xôi"
偏偏,piānpiān,"Cố ý, cố tình"
片段,piànduàn,"Đoạn, mảnh"
片刻,piànkè,Khoảnh khắc
漂浮,piāofú,"Nổi, lơ lửng"
飘扬,piāoyáng,Bay phấp phới
拼搏,pīnbó,"Phấn đấu, nỗ lực"
拼命,pīnmìng,"Liều mạng, cố hết sức"
贫乏,pínfá,Nghèo nàn
频繁,pínfán,"Thường xuyên, nhiều lần"
贫困,pínkùn,"Nghèo khổ, nghèo khó"
频率,pínlǜ,Tần suất
品尝,pǐncháng,"Nếm, thưởng thức"
品德,pǐndé,Đức hạnh
品行,pǐnxíng,"Hạnh kiểm, hành vi"
品质,pǐnzhì,Chất lượng
平凡,píngfán,Bình thường
评估,pínggū,Đánh giá
评论,pínglùn,Bình luận
平面,píngmiàn,Bề mặt phẳng
平坦,píngtǎn,Bằng phẳng
平行,píngxíng,Song song
平原,píngyuán,Đồng bằng
屏障,píngzhàng,"Hàng rào, tường chắn"
坡,pō,"Dốc, sườn dốc"
泼,pō,"Té, hắt"
颇,pō,"Khá, hơi"
迫不及待,pòbùjídài,Không thể chờ được
迫害,pòhài,"Bức hại, đàn áp"
破例,pòlì,Phá lệ
魄力,pòlì,"Quyết đoán, dũng khí"
扑,pū,"Vồ, bổ nhào"
铺,pū,"Trải, bày"
普及,pǔjí,Phổ cập
朴实,pǔshí,"Chất phác, giản dị"
瀑布,pùbù,Thác nước
欺负,qīfu,"Bắt nạt, ức hiếp"
凄凉,qīliáng,"Thê lương, buồn bã"
欺骗,qīpiàn,Lừa dối
期望,qīwàng,"Kỳ vọng, mong đợi"
期限,qīxiàn,Thời hạn
奇妙,qímiào,Kỳ diệu
旗袍,qípáo,Sườn xám
齐全,qíquán,"Đầy đủ, trọn vẹn"
歧视,qíshì,Kỳ thị
齐心协力,qíxīnxiélì,Đồng tâm hiệp lực
旗帜,qízhì,"Cờ, biểu ngữ"
起草,qǐcǎo,Khởi thảo
启程,qǐchéng,Khởi hành
起初,qǐchū,"Ban đầu, lúc đầu"
起伏,qǐfú,"Nhấp nhô, thăng trầm"
乞丐,qǐgài,"Ăn mày, ăn xin"
起哄,qǐhòng,"Gây rối, quấy phá"
起码,qǐmǎ,"Tối thiểu, ít nhất"
启示,qǐshì,"Gợi ý, khơi dậy"
启事,qǐshì,Thông báo
起义,qǐyì,Khởi nghĩa
岂有此理,qǐyǒucǐlǐ,Lẽ nào lại thế
起源,qǐyuán,Nguồn gốc
器材,qìcái,"Thiết bị, dụng cụ"
气概,qìgài,Khí phách
气功,qìgōng,Khí công
器官,qìguān,Cơ quan (cơ thể)
迄今为止,qìjīnwéizhǐ,Cho đến nay
气魄,qìpò,"Khí phách, dũng khí"
气色,qìsè,Thần sắc
气势,qìshì,Khí thế
气味,qìwèi,"Mùi hương, mùi vị"
气象,qìxiàng,Khí tượng
气压,qìyā,Áp suất không khí
掐,qiā,"Véo, ngắt"
恰当,qiàdàng,"Thích hợp, hợp lý"
恰到好处,qiàdàohǎochù,"Vừa vặn, đúng chỗ"
恰巧,qiàqiǎo,"Đúng lúc, khéo léo"
洽谈,qiàtán,"Thảo luận, bàn bạc"
牵扯,qiānchě,"Dính líu, liên lụy"
签订,qiāndìng,Ký kết
千方百计,qiānfāngbǎijì,Trăm phương ngàn kế
迁就,qiānjiù,"Nhường nhịn, nhún nhường"
签署,qiānshǔ,"Ký, phê chuẩn"
迁徙,qiānxǐ,"Di cư, chuyển chỗ ở"
谦逊,qiānxùn,Khiêm tốn
牵制,qiānzhì,"Kìm chế, ràng buộc"
前景,qiánjǐng,Triển vọng
潜力,qiánlì,Tiềm năng
潜水,qiánshuǐ,Lặn
前提,qiántí,Tiền đề
潜移默化,qiányímòhuà,Thay đổi ngầm
谴责,qiǎnzé,"Khiển trách, lên án"
抢劫,qiǎngjié,Cướp bóc
强制,qiángzhì,"Ép buộc, cưỡng chế"
抢救,qiǎngjiù,"Cứu trợ, cấp cứu"
强迫,qiǎngpò,"Ép buộc, cưỡng ép"
桥梁,qiáoliáng,"Cầu, cầu nối"
翘,qiào,"Vểnh, nhô lên"
锲而不舍,qiè'érbùshě,Kiên trì không bỏ cuộc
切实,qièshí,"Thiết thực, cụ thể"
侵犯,qīnfàn,"Xâm phạm, xâm lấn"
钦佩,qīnpèi,"Kính phục, thán phục"
亲热,qīnrè,"Thân mật, nồng nhiệt"
亲身,qīnshēn,"Tự mình, bản thân"
勤俭,qínjiǎn,Cần kiệm
勤恳,qínkěn,"Chăm chỉ, cần cù"
氢,qīng,"Khinh, khí hiếm"
清澈,qīngchè,Trong suốt
清晨,qīngchén,Sáng sớm
清除,qīngchú,"Dọn sạch, loại bỏ"
轻而易举,qīng'éryìjǔ,"Dễ dàng, dễ như trở bàn tay"
清洁,qīngjié,"Sạch sẽ, vệ sinh"
清理,qīnglǐ,"Dọn dẹp, sắp xếp"
倾听,qīngtīng,Lắng nghe
清晰,qīngxī,"Rõ ràng, rõ nét"
倾向,qīngxiàng,"Khuynh hướng, xu hướng"
倾斜,qīngxié,"Nghiêng, lệch"
清醒,qīngxǐng,"Tỉnh táo, sáng suốt"
清真,qīngzhēn,"Hồi giáo, chính giáo"
情报,qíngbào,"Tình báo, thông tin"
情节,qíngjié,"Tình tiết, chi tiết"
晴朗,qínglǎng,"Trời quang, trời trong"
情理,qínglǐ,"Lý lẽ, đạo lý"
情形,qíngxíng,"Tình hình, hoàn cảnh"
请柬,qǐngjiǎn,Thiệp mời
请教,qǐngjiào,"Thỉnh giáo, xin ý kiến"
请示,qǐngshì,"Xin chỉ thị, xin ý kiến"
请帖,qǐngtiě,Thiệp mời
丘陵,qiūlíng,"Đồi núi, đồi cỏ"
区分,qūfēn,"Phân biệt, chia tách"
屈服,qūfú,"Khuất phục, đầu hàng"
区域,qūyù,"Khu vực, vùng"
曲折,qūzhé,"Quanh co, khúc khuỷu"
驱逐,qūzhú,"Trục xuất, xua đuổi"
渠道,qúdào,"Kênh rạch, kênh"
取缔,qǔdì,"Cấm đoán, cấm chỉ"
曲子,qǔzi,"Bài hát, bản nhạc"
趣味,qùwèi,"Hứng thú, thú vị"
圈套,quāntào,"Cái bẫy, cạm bẫy"
权衡,quánhéng,"Cân nhắc, xem xét"
全局,quánjú,Toàn bộ cục diện
全力以赴,quánlìyǐfù,"Dốc toàn lực, toàn tâm toàn ý"
拳头,quántou,"Nắm đấm, quyền lực"
权威,quánwēi,"Quyền uy, uy tín"
权益,quányì,Quyền lợi và lợi ích
犬,quǎn,"Chó, cẩu"
缺口,quēkǒu,"Chỗ hổng, khe hở"
缺席,quēxí,"Vắng mặt, không tham dự"
缺陷,quēxiàn,"Khiếm khuyết, khuyết điểm"
瘸,qué,"Khập khiễng, què"
确保,quèbǎo,"Đảm bảo, bảo đảm"
确立,quèlì,"Xác lập, thiết lập"
确切,quèqiè,"Chính xác, xác thực"
确信,quèxìn,"Tin chắc, tin tưởng"
群众,qúnzhòng,"Quần chúng, nhân dân"
染,rǎn,"Nhuộm, tô điểm"
让步,ràngbù,"Nhượng bộ, lùi bước"
饶恕,ráoshù,"Tha thứ, tha lỗi"
扰乱,rǎoluàn,"Quấy rối, làm loạn"
惹祸,rěhuò,"Gây họa, gây rắc rối"
热泪盈眶,rèlèiyíngkuàng,Nước mắt đầm đìa
热门,rèmén,"Phổ biến, thịnh hành"
仁慈,réncí,"Nhân từ, nhân hậu"
人道,réndào,Nhân đạo
人格,réngé,"Nhân cách, phẩm cách"
人工,réngōng,"Nhân công, lao động"
人家,rénjiā,"Nhà cửa, gia đình"
人间,rénjiān,"Nhân gian, thế gian"
人士,rénshì,"Nhân sĩ, người"
人为,rénwéi,Do con người làm
人性,rénxìng,"Nhân tính, bản tính"
人质,rénzhì,"Con tin, người bị bắt"
忍耐,rěnnài,"Nhẫn nại, chịu đựng"
忍受,rěnshòu,"Chịu đựng, cam chịu"
认定,rèndìng,"Nhận định, xác định"
认可,rènkě,"Công nhận, phê duyệt"
任命,rènmìng,"Bổ nhiệm, cử nhiệm"
任性,rènxìng,"Tùy hứng, bướng bỉnh"
任意,rènyì,"Tùy ý, tự do"
任重道远,rènzhòngdàoyuǎn,Trách nhiệm nặng nề và đường dài
仍旧,réngjiù,Vẫn như cũ
日新月异,rìxīnyuèyì,Thay đổi từng ngày
日益,rìyì,Ngày càng
溶解,róngjiě,Hòa tan
容貌,róngmào,Dung mạo
容纳,róngnà,Chứa đựng
容器,róngqì,"Đồ đựng, dụng cụ chứa"
融洽,róngqià,"Hòa hợp, êm thấm"
容忍,róngrěn,"Chịu đựng, nhẫn nhịn"
揉,róu,"Xoa, bóp"
柔和,róuhé,"Dịu dàng, mềm mại"
弱点,ruòdiǎn,Điểm yếu
若干,ruògān,"Một vài, bao nhiêu"
撒谎,sāhuǎng,Nói dối
腮,sāi,"Má, cằm"
三角,sānjiǎo,Tam giác
散文,sǎnwén,Tản văn
散发,sànfā,"Tỏa ra, phát tán"
丧失,sàngshī,Mất mát
嫂子,sǎozi,Chị dâu
色彩,sècǎi,Màu sắc
刹车,shāchē,"Phanh, thắng"
啥,shá,"Gì (dạng khẩu ngữ của ""什么"")"
筛选,shāixuǎn,"Sàng lọc, tuyển chọn"
山脉,shānmài,Dãy núi
闪烁,shǎnshuò,"Lấp lánh, lung linh"
擅长,shàncháng,"Giỏi về, sở trường"
擅自,shànzì,"Tự ý, tự tiện"
扇子,shànzi,Quạt
商标,shāngbiāo,Thương hiệu
伤脑筋,shāng nǎojīn,"Đau đầu, khó khăn"
上级,shàngjí,Cấp trên
上进心,shàngjìnxīn,Tinh thần cầu tiến
上任,shàngrèn,Nhậm chức
上瘾,shàngyǐn,Nghiện
上游,shàngyóu,"Thượng nguồn, phần tiên tiến"
梢,shāo,"Ngọn, chóp"
捎,shāo,"Mang theo, đưa cho"
哨,shào,"Còi, kèn"
奢侈,shēchǐ,Xa xỉ
涉及,shèjí,Liên quan đến
设立,shèlì,"Thiết lập, thành lập"
社区,shèqū,"Cộng đồng, khu vực"
摄取,shèqǔ,"Hấp thụ, tiếp thu"
摄氏度,shèshìdù,Độ Celsius
设想,shèxiǎng,"Dự tính, giả định"
设置,shèzhì,"Lắp đặt, thiết lập"
深奥,shēn'ào,"Sâu sắc, khó hiểu"
申报,shēnbào,"Trình báo, khai báo"
深沉,shēnchén,"Sâu sắc, thâm trầm"
深情厚谊,shēnqíng hòuyì,Tình cảm sâu đậm
绅士,shēnshì,"Quý ông, người lịch sự"
呻吟,shēnyín,Rên rỉ
神奇,shénqí,Kỳ diệu
神气,shénqì,"Vẻ, dáng vẻ"
神情,shénqíng,"Thần thái, cảm xúc"
神色,shénsè,Thần sắc
神圣,shénshèng,Thần thánh
神态,shéntài,"Thần thái, dáng vẻ"
神仙,shénxiān,Thần tiên
审查,shěnchá,Thẩm tra
审理,shěnlǐ,Xét xử
审美,shěnměi,Thẩm mỹ
审判,shěnpàn,"Xét xử, phán xét"
渗透,shèntòu,"Thẩm thấu, thấm vào"
慎重,shènzhòng,Cẩn trọng
牲畜,shēngchù,Gia súc
生存,shēngcún,Sinh tồn
生机,shēngjī,Sức sống
生理,shēnglǐ,Sinh lý
声明,shēngmíng,Tuyên bố
声势,shēngshì,Thanh thế
生疏,shēngshū,"Lạ lẫm, không quen thuộc"
生态,shēngtài,Sinh thái
生物,shēngwù,Sinh vật
生效,shēngxiào,Có hiệu lực
生锈,shēngxiù,Bị gỉ sét
生育,shēngyù,Sinh sản
声誉,shēngyù,Danh tiếng
省会,shěnghuì,Thủ phủ tỉnh
盛产,shèngchǎn,"Sản xuất nhiều, phong phú"
胜负,shèngfù,Thắng thua
盛开,shèngkāi,Nở rộ
盛情,shèngqíng,"Nồng hậu, ân cần"
盛行,shèngxíng,Thịnh hành
师范,shīfàn,Sư phạm
施加,shījiā,"Áp đặt, tác động"
尸体,shītǐ,Thi thể
失误,shīwù,"Sai lầm, lỗi lầm"
施展,shīzhǎn,"Phát huy, thực hiện"
狮子,shīzi,Sư tử
失踪,shīzōng,Mất tích
拾,shí,"Nhặt, lượm"
识别,shíbié,"Nhận biết, phân biệt"
时差,shíchā,Chênh lệch múi giờ
时常,shícháng,Thường xuyên
时而,shí'ér,"Thỉnh thoảng, đôi khi"
时光,shíguāng,Thời gian
实惠,shíhuì,"Giá trị thực, có lợi ích thực sự"
时机,shíjī,"Thời cơ, cơ hội"
实力,shílì,Thực lực
实施,shíshī,"Thực thi, thực hiện"
时事,shíshì,Thời sự
实事求是,shíshìqiúshì,Thực sự cầu thị
石油,shíyóu,Dầu mỏ
实质,shízhì,Thực chất
时装,shízhuāng,Thời trang
十足,shízú,"Đầy đủ, hoàn toàn"
使命,shǐmìng,Sứ mệnh
势必,shìbì,Chắc chắn
世代,shìdài,Thế hệ
示范,shìfàn,"Làm mẫu, mô phỏng"
释放,shìfàng,Giải phóng
是非,shìfēi,"Đúng sai, thị phi"
事故,shìgù,Sự cố
事迹,shìjì,"Sự tích, hành động đáng chú ý"
事件,shìjiàn,Sự kiện
世界观,shìjièguān,Thế giới quan
视力,shìlì,Thị lực
势力,shìlì,Thế lực
逝世,shìshì,Qua đời
事态,shìtài,Tình hình
试图,shìtú,"Thử, cố gắng"
示威,shìwēi,Biểu tình
事务,shìwù,Công việc
视线,shìxiàn,Tầm nhìn
事项,shìxiàng,"Hạng mục, vấn đề"
试验,shìyàn,Thí nghiệm
视野,shìyě,Tầm nhìn
事业,shìyè,Sự nghiệp
适宜,shìyí,Thích hợp
示意,shìyì,Ra hiệu
收藏,shōucáng,"Thu thập, sưu tầm"
收缩,shōusuō,Co lại
收益,shōuyì,Lợi nhuận
收音机,shōuyīnjī,Đài radio
手法,shǒufǎ,"Phương pháp, thủ pháp"
守护,shǒuhù,"Bảo vệ, canh giữ"
手势,shǒushì,"Cử chỉ, động tác tay"
首要,shǒuyào,Quan trọng nhất
手艺,shǒuyì,Tay nghề
授予,shòuyǔ,Trao tặng
受罪,shòuzuì,"Chịu tội, khổ sở"
舒畅,shūchàng,Thoải mái
书法,shūfǎ,Thư pháp
疏忽,shūhū,Sơ suất
书籍,shūjí,Sách vở
书记,shūji,Bí thư
书面,shūmiàn,Văn bản
数,shǔ,"Đếm, số lượng"
竖,shù,Dựng đứng
束,shù,"Bó, gói"
数额,shù'é,Số lượng
束缚,shùfù,Ràng buộc
树立,shùlì,"Xây dựng, thiết lập"
数目,shùmù,Số lượng
耍,shuǎ,"Chơi đùa, giỡn"
衰老,shuāilǎo,Già yếu
衰退,shuāituì,Suy thoái
率领,shuàilǐng,"Lãnh đạo, dẫn dắt"
涮火锅,shuàn huǒguō,Nhúng lẩu
双胞胎,shuāngbāotāi,Sinh đôi
爽快,shuǎngkuài,Sảng khoái
水利,shuǐlì,Thủy lợi
水龙头,shuǐlóngtóu,Vòi nước
水泥,shuǐní,Xi măng
司法,sīfǎ,Tư pháp
司令,sīlìng,Tư lệnh
思念,sīniàn,Nhớ nhung
思索,sīsuǒ,"Suy nghĩ, suy xét"
思维,sīwéi,Tư duy
斯文,sīwén,"Lịch sự, nhã nhặn"
思绪,sīxù,"Tâm tư, suy nghĩ"
私自,sīzì,Tự tiện
死亡,sǐwáng,Tử vong
肆无忌惮,sìwújìdàn,"Không kiêng nể, không kiêng dè"
饲养,sìyǎng,Chăn nuôi
四肢,sìzhī,Tứ chi
耸,sǒng,"Cao vút, thẳng đứng"
艘,sōu,"Chiếc (thuyền, tàu)"
搜索,sōusuǒ,Tìm kiếm
苏醒,sūxǐng,"Tỉnh lại, hồi sinh"
俗话,súhuà,Tục ngữ
素食主义,sùshízhǔyì,Chủ nghĩa ăn chay
诉讼,sùsòng,Kiện tụng
塑造,sùzào,"Tạo hình, hình thành"
素质,sùzhì,Tố chất
算了,suànle,"Bỏ qua, thôi đi"
算数,suànshù,"Đếm, tính toán"
随即,suíjí,Ngay lập tức
随身,suíshēn,Mang theo người
随手,suíshǒu,Thuận tay
随意,suíyì,Tùy ý
隧道,suìdào,Đường hầm
岁月,suìyuè,Năm tháng
损坏,sǔnhuài,Hư hỏng
索赔,suǒpéi,Yêu cầu bồi thường
索性,suǒxìng,Dứt khoát
塌,tā,"Sập, đổ"
踏实,tāshi,"Yên tâm, thoải mái"
台风,táifēng,Bão tố
泰斗,tàidǒu,"Người giỏi nhất, đại thụ"
太空,tàikōng,Không gian
瘫痪,tānhuàn,Bại liệt
贪婪,tānlán,Tham lam
摊儿,tānr,Quầy hàng
贪污,tānwū,Tham nhũng
弹性,tánxìng,Tính đàn hồi
坦白,tǎnbái,"Thẳng thắn, thành thật"
探测,tàncè,Thăm dò
叹气,tànqì,Thở dài
探索,tànsuǒ,Khám phá
探讨,tàntǎo,Thảo luận
探望,tànwàng,Thăm viếng
糖葫芦,tánghúlu,Kẹo hồ lô
掏,tāo,"Móc, lấy ra"
滔滔不绝,tāotāobùjué,"Nói liên tục, không ngừng"
陶瓷,táocí,Gốm sứ
淘气,táoqì,Nghịch ngợm
淘汰,táotài,Loại bỏ
讨价还价,tǎojiàhuánjià,Mặc cả
特长,tècháng,Sở trường
特定,tèdìng,"Cụ thể, nhất định"
特色,tèsè,Đặc sắc
提拔,tíbá,Thăng chức
题材,tícái,Đề tài
提炼,tíliàn,Tinh luyện
提示,tíshì,Gợi ý
提议,tíyì,Đề nghị
体谅,tǐliàng,Thông cảm
体面,tǐmiàn,"Thể diện, diện mạo"
体系,tǐxì,Hệ thống
天才,tiāncái,Thiên tài
天伦之乐,tiānlún zhī lè,Niềm vui gia đình
天然气,tiānránqì,Khí thiên nhiên
天生,tiānshēng,Bẩm sinh
天堂,tiāntáng,Thiên đường
天文,tiānwén,Thiên văn
田径,tiánjìng,Điền kinh
舔,tiǎn,Liếm
挑剔,tiāoti,"Kỹ tính, soi mói"
调和,tiáohé,Điều hòa
调剂,tiáojì,Điều chỉnh
调节,tiáojié,Điều chỉnh
调解,tiáojiě,Hòa giải
条款,tiáokuǎn,Điều khoản
条理,tiáolǐ,Trình tự
调料,tiáoliào,Gia vị
条约,tiáoyuē,Hiệp ước
挑拨,tiǎobō,Khiêu khích
挑衅,tiǎoxìn,Khiêu chiến
跳跃,tiàoyuè,Nhảy vọt
停泊,tíngbó,Cập bến
停顿,tíngdùn,Tạm dừng
停滞,tíngzhì,Đình trệ
亭子,tíngzi,"Đình, chòi"
挺拔,tǐngbá,"Cao ráo, thẳng đứng"
通货膨胀,tōnghuò péngzhàng,Lạm phát
通俗,tōngsú,Thông thường
通用,tōngyòng,Phổ biến
同胞,tóngbāo,Đồng bào
童话,tónghuà,Truyện cổ tích
铜矿,tóngkuàng,Quặng đồng
同志,tóngzhì,Đồng chí
统筹兼顾,tǒngchóu jiāngù,Tổng thể và toàn diện
统计,tǒngjì,Thống kê
统统,tǒngtǒng,Toàn bộ
投机,tóujī,"Đầu cơ, cơ hội"
投票,tóupiào,Bỏ phiếu
投降,tóuxiáng,Đầu hàng
投掷,tóuzhì,"Ném, quăng"
秃,tū,Hói
突破,tūpò,Đột phá
图案,tú'àn,Họa tiết
徒弟,túdì,Đệ tử
途径,tújìng,"Con đường, cách thức"
涂抹,túmǒ,"Bôi, quét"
土壤,tǔrǎng,Đất đai
团结,tuánjié,Đoàn kết
团体,tuántǐ,Tập thể
团员,tuányuán,Đoàn viên
推测,tuīcè,Suy đoán
推翻,tuīfān,Lật đổ
推理,tuīlǐ,Suy luận
推论,tuīlùn,Suy luận
推销,tuīxiāo,Tiếp thị
吞咽,tūnyàn,Nuốt
脱离,tuōlí,Thoát ly
拖延,tuōyán,"Kéo dài, trì hoãn"
托运,tuōyùn,Ký gửi
妥当,tuǒdàng,Thỏa đáng
妥善,tuǒshàn,Thỏa đáng
妥协,tuǒxié,Thỏa hiệp
椭圆,tuǒyuán,Hình elip
唾沫,tuòmò,Nước bọt
挖掘,wājué,Đào bới
娃娃,wáwa,"Búp bê, em bé"
瓦解,wǎjiě,Tan rã
哇,wā,Wow (thán từ)
歪曲,wāiqū,Xuyên tạc
外表,wàibiǎo,Ngoại hình
外行,wàiháng,Ngoại đạo
外界,wàijiè,Thế giới bên ngoài
外向,wàixiàng,Hướng ngoại
丸,wán,"Viên, hoàn"
完备,wánbèi,"Hoàn bị, đầy đủ"
完毕,wánbì,Kết thúc
顽固,wángù,Ngoan cố
玩弄,wánnòng,Trêu chọc
顽强,wánqiáng,Ngoan cường
玩意儿,wányìr,"Đồ chơi, món đồ"
挽回,wǎnhuí,Cứu vãn
挽救,wǎnjiù,Cứu chữa
惋惜,wǎnxī,Tiếc nuối
万分,wànfēn,Vô cùng
往常,wǎngcháng,Thường ngày
网络,wǎngluò,Mạng lưới
往事,wǎngshì,Chuyện cũ
妄想,wàngxiǎng,Ảo tưởng
微不足道,wēibùzúdào,Không đáng kể
威风,wēifēng,Uy phong
微观,wēiguān,Vi mô
危机,wēijī,Khủng hoảng
威力,wēilì,Uy lực
威望,wēiwàng,Uy tín
威信,wēixìn,Uy tín
违背,wéibèi,Trái ngược
维持,wéichí,Duy trì
唯独,wéidú,"Chỉ có, duy nhất"
为难,wéinán,Khó xử
为期,wéiqī,Kỳ hạn
维生素,wéishēngsù,Vitamin
为首,wéishǒu,Đứng đầu
维修,wéixiū,Bảo dưỡng
委员,wěiyuán,Ủy viên
伪造,wěizào,Làm giả
畏惧,wèijù,Sợ hãi
胃口,wèikǒu,Khẩu vị
未免,wèimiǎn,"Quả là, hơi bị"
慰问,wèiwèn,Thăm hỏi
卫星,wèixīng,Vệ tinh
位于,wèiyú,Nằm ở
温带,wēndài,Vùng ôn đới
温和,wēnhé,Ôn hòa
文凭,wénpíng,Văn bằng
文物,wénwù,Văn vật
文献,wénxiàn,Tư liệu
文雅,wényǎ,Văn nhã
文艺,wényì,Văn nghệ
问世,wènshì,Ra đời
窝,wō,"Tổ, ổ"
乌黑,wūhēi,Đen như mực
污蔑,wūmiè,Vu khống
诬陷,wūxiàn,Vu cáo
无比,wúbǐ,Vô cùng
无偿,wúcháng,Không bồi thường
无耻,wúchǐ,Vô liêm sỉ
无从,wúcóng,Không thể nào
无动于衷,wúdòngyúzhōng,Không chút động lòng
无非,wúfēi,"Chỉ là, chẳng qua là"
无精打采,wújīng dǎcǎi,Không có sức sống
无可奉告,wúkě fènggào,Không có gì để nói
无可奈何,wúkě nàihé,Không còn cách nào khác
无赖,wúlài,Vô lại
无理取闹,wúlǐ qǔnào,Gây sự vô lý
无能为力,wúnéng wéilì,Bất lực
无穷无尽,wúqióng wújìn,Vô cùng vô tận
无微不至,wúwēi bùzhì,"Tận tình, chu đáo"
无忧无虑,wúyōu wúlǜ,Vô lo vô nghĩ
无知,wúzhī,Vô tri
舞蹈,wǔdǎo,Vũ đạo
侮辱,wǔrǔ,Sỉ nhục
武侠,wǔxiá,Võ hiệp
武装,wǔzhuāng,Trang bị vũ khí
勿,wù,"Đừng, chớ"
务必,wùbì,Nhất thiết phải
误差,wùchā,Sai số
误解,wùjiě,Hiểu lầm
物美价廉,wùměi jiàlián,Hàng tốt giá rẻ
务实,wùshí,Thực tế
物资,wùzī,Vật tư
溪,xī,Suối
膝盖,xīgài,Đầu gối
熄灭,xīmiè,Tắt
吸取,xīqǔ,Hấp thu
昔日,xīrì,Ngày xưa
牺牲,xīshēng,Hy sinh
